iter	Passed	Remaining
861	12607	2018
862	12622	2003
863	12634	1988
864	12648	1974
865	12660	1958
866	12674	1944
867	12689	1929
868	12703	1915
869	12719	1900
870	12732	1885
871	12744	1870
872	12757	1855
873	12772	1841
874	12787	1826
875	12801	1812
876	12815	1797
877	12827	1782
878	12840	1767
879	12854	1752
880	12867	1738
881	12880	1723
882	12893	1708
883	12908	1693
884	12923	1679
885	12937	1664
886	12952	1650
887	12966	1635
888	12980	1620
889	12993	1605
890	13009	1591
891	13023	1576
892	13039	1562
893	13056	1548
894	13073	1533
895	13090	1519
896	13107	1505
897	13125	1490
898	13142	1476
899	13161	1462
900	13179	1448
901	13195	1433
902	13213	1419
903	13230	1404
904	13246	1390
905	13262	1376
906	13280	1361
907	13296	1347
908	13310	1332
909	13324	1317
910	13339	1303
911	13354	1288
912	13372	1274
913	13388	1259
914	13405	1245
915	13420	1230
916	13435	1216
917	13450	1201
918	13466	1186
919	13482	1172
920	13498	1157
921	13513	1143
922	13528	1128
923	13543	1113
924	13560	1099
925	13577	1085
926	13593	1070
927	13608	1055
928	13623	1041
929	13636	1026
930	13650	1011
931	13665	997
932	13680	982
933	13695	967
934	13710	953
935	13724	938
936	13739	923
937	13754	909
938	13769	894
939	13785	879
940	13806	865
941	13821	851
942	13836	836
943	13851	821
944	13885	808
945	13945	796
946	13972	781
947	13991	767
948	14010	752
949	14026	738
950	14045	723
951	14061	708
952	14077	694
953	14094	679
954	14120	665
955	14153	651
956	14173	636
957	14192	622
958	14210	607
959	14227	592
960	14242	578
961	14259	563
962	14281	548
963	14297	533
964	14314	519
965	14330	504
966	14348	489
967	14363	474
968	14379	460
969	14396	445
970	14410	430
971	14426	415
972	14440	400
973	14453	385
974	14464	370
975	14478	356
976	14491	341
977	14504	326
978	14519	311
979	14534	296
980	14548	281
981	14563	266
982	14583	252
983	14599	237
984	14628	222
985	14640	207
986	14653	192
987	14668	178
988	14682	163
989	14698	148
990	14711	133
991	14726	118
992	14741	103
993	14755	89
994	14768	74
995	14783	59
996	14798	44
997	14814	29
998	14829	14
999	14842	0
